Isolate_Id,Subtype,Clade,Location,Host,Collection_Date,Host_Category
EPI_ISL_19072288,A / H1N1,unassigned,Europe / Germany,Swine,2024-03-01,Swine
EPI_ISL_19072287,A / H1N1,unassigned,Europe / Germany,Swine,2024-02-29,Swine
EPI_ISL_19172734,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2023-12-04,Human
EPI_ISL_19172725,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2024-04-21,Human
EPI_ISL_19172720,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2023-11-22,Human
EPI_ISL_19172716,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2023-12-01,Human
EPI_ISL_19172712,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2023-12-03,Human
EPI_ISL_19172709,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2024-04-20,Human
EPI_ISL_19172705,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2023-12-08,Human
EPI_ISL_19172671,A / H1N1,6B.1A.5a.2a.1,Europe / France / Auvergne-Rhone-Alpes,Human,2024-04-11,Human
EPI_ISL_19172670,A / H1N1,6B.1A.5a.2a.1,North America / United States / Minnesota,Human,2024-03-11,Human
EPI_ISL_19172668,A / H1N1,6B.1A.5a.2a.1,North America / United States / Minnesota,Human,2024-02-23,Human
EPI_ISL_19172666,A / H1N1,6B.1A.5a.2a.1,North America / United States / Minnesota,Human,2024-03-06,Human
EPI_ISL_19172663,A / H1N1,6B.1A.5a.2a.1,North America / United States / Minnesota,Human,2023-11-30,Human
EPI_ISL_19172660,A / H1N1,6B.1A.5a.2a.1,North America / United States / Minnesota,Human,2024-03-21,Human
EPI_ISL_19172653,A / H1N1,6B.1A.5a.2a,Europe / France / Auvergne-Rhone-Alpes,Human,2024-03-30,Human
EPI_ISL_19172649,A / H1N1,6B.1A.5a.2a,Europe / France / Auvergne-Rhone-Alpes,Human,2024-03-27,Human
EPI_ISL_19172646,A / H1N1,6B.1A.5a.2a,Europe / France / Auvergne-Rhone-Alpes,Human,2024-03-28,Human
EPI_ISL_19172643,A / H1N1,6B.1A.5a.2a.1,North America / United States / Florida,Human,2024-04-03,Human
EPI_ISL_19172641,A / H1N1,6B.1A.5a.2a,North America / United States / Florida,Human,2024-04-07,Human
EPI_ISL_19172640,A / H1N1,6B.1A.5a.2a,Europe / France / Corse,Human,2024-03-26,Human
EPI_ISL_19172639,A / H1N1,6B.1A.5a.2a.1,North America / United States / Florida,Human,2024-04-17,Human
EPI_ISL_19172637,A / H1N1,6B.1A.5a.2a.1,North America / United States / Florida,Human,2024-03-31,Human
EPI_ISL_19172635,A / H1N1,6B.1A.5a.2a,North America / United States / Florida,Human,2024-04-14,Human
EPI_ISL_19172634,A / H1N1,6B.1A.5a.2a,Europe / France / Auvergne-Rhone-Alpes,Human,2024-03-25,Human
EPI_ISL_19172633,A / H1N1,6B.1A.5a.2a.1,North America / United States / Florida,Human,2024-04-30,Human
EPI_ISL_19172632,A / H1N1,6B.1A.5a.2a,Europe / France / Bourgogne-Franche-Comte,Human,2024-03-30,Human
EPI_ISL_19172631,A / H1N1,6B.1A.5a.2a,North America / United States / Florida,Human,2024-04-20,Human
EPI_ISL_19172630,A / H1N1,6B.1A.5a.2a,Europe / France / Bourgogne-Franche-Comte,Human,2024-03-28,Human
EPI_ISL_19172629,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2024-04-15,Human
EPI_ISL_19172628,A / H1N1,6B.1A.5a.2a,Europe / France / Bourgogne-Franche-Comte,Human,2024-03-28,Human
EPI_ISL_19172627,A / H1N1,6B.1A.5a.2a,North America / United States / Colorado,Human,2023-12-19,Human
EPI_ISL_19172626,A / H1N1,6B.1A.5a.2a,Europe / France / Auvergne-Rhone-Alpes,Human,2024-03-27,Human
EPI_ISL_19172625,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2023-12-24,Human
EPI_ISL_19172623,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2023-12-17,Human
EPI_ISL_19172620,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2024-04-16,Human
EPI_ISL_19172618,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2023-12-21,Human
EPI_ISL_19172615,A / H1N1,6B.1A.5a.2a,North America / United States / Colorado,Human,2023-12-16,Human
EPI_ISL_19172614,A / H1N1,6B.1A.5a.2a,Europe / France / Auvergne-Rhone-Alpes,Human,2024-03-28,Human
EPI_ISL_19172613,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2023-12-20,Human
EPI_ISL_19172610,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2024-04-12,Human
EPI_ISL_19172608,A / H1N1,6B.1A.5a.2a,Europe / France / Auvergne-Rhone-Alpes,Human,2024-03-28,Human
EPI_ISL_19169353,A / H1N1,6B.1A.5a.2a.1,Asia / Japan,Human,2023-11-30,Human
EPI_ISL_19139424,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Province of the Western Cape,Human,2024-04-23,Human
EPI_ISL_19139422,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Province of the Western Cape,Human,2024-04-24,Human
EPI_ISL_19139420,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Gauteng,Human,2024-04-22,Human
EPI_ISL_19139416,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Gauteng,Human,2024-04-23,Human
EPI_ISL_19139414,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Gauteng,Human,2024-04-22,Human
EPI_ISL_19139411,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Gauteng,Human,2024-04-22,Human
EPI_ISL_19139409,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Gauteng,Human,2024-04-22,Human
EPI_ISL_19139351,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Gauteng,Human,2024-04-18,Human
